,1MainBRHum_temperature,1MainBRHum_humidity,timestamp
0,16.25,28,2022-01-07 20:59:19.729000+01:00
1,16.6,28,2022-01-07 21:15:34.963000+01:00
2,16.8,28,2022-01-07 21:31:50.075000+01:00
3,16.75,27,2022-01-07 21:48:05.048000+01:00
4,16.65,27,2022-01-07 22:04:19.726000+01:00
5,16.4,28,2022-01-07 22:20:35.256000+01:00
6,16.45,28,2022-01-07 22:34:53.778000+01:00
7,16.5,28,2022-01-07 22:51:09.459000+01:00
8,16.8,28,2022-01-07 23:07:24.598000+01:00
9,17.2,27,2022-01-07 23:23:38.238000+01:00
10,16.55,28,2022-01-07 23:39:52.418000+01:00
11,16.35,28,2022-01-07 23:56:08.036000+01:00
12,16.3,27,2022-01-08 00:12:23.987000+01:00
13,16.45,28,2022-01-08 00:28:40.271000+01:00
14,16.2,28,2022-01-08 00:44:56.881000+01:00
15,16.1,28,2022-01-08 00:59:16.293000+01:00
16,16.45,28,2022-01-08 01:15:32.507000+01:00
17,16.5,28,2022-01-08 01:31:47.493000+01:00
18,16.7,28,2022-01-08 01:48:01.973000+01:00
19,16.75,28,2022-01-08 02:04:16.233000+01:00
20,16.9,28,2022-01-08 02:20:30.179000+01:00
21,16.8,28,2022-01-08 02:36:43.986000+01:00
22,16.85,27,2022-01-08 02:52:57.782000+01:00
23,16.95,27,2022-01-08 03:09:11.647000+01:00
24,16.9,27,2022-01-08 03:25:25.519000+01:00
25,16.85,27,2022-01-08 03:41:39.219000+01:00
26,17.05,27,2022-01-08 03:57:53.039000+01:00
27,17.1,27,2022-01-08 04:14:06.581000+01:00
28,16.95,27,2022-01-08 04:30:20.294000+01:00
29,16.95,26,2022-01-08 04:46:34.201000+01:00
30,16.85,27,2022-01-08 05:02:47.909000+01:00
31,17.1,28,2022-01-08 05:17:04.476000+01:00
32,17.0,27,2022-01-08 05:33:18.027000+01:00
33,17.0,26,2022-01-08 05:49:31.746000+01:00
34,17.0,27,2022-01-08 06:03:48.397000+01:00
35,17.05,27,2022-01-08 06:18:05.324000+01:00
36,16.9,27,2022-01-08 06:32:22.128000+01:00
37,16.9,27,2022-01-08 06:46:38.953000+01:00
38,16.9,27,2022-01-08 07:02:52.775000+01:00
39,16.85,27,2022-01-08 07:19:06.786000+01:00
40,16.85,27,2022-01-08 07:35:20.662000+01:00
41,16.85,27,2022-01-08 07:51:34.676000+01:00
42,16.85,26,2022-01-08 08:07:48.590000+01:00
43,16.5,26,2022-01-08 08:24:03.498000+01:00
44,16.25,26,2022-01-08 08:40:19.418000+01:00
45,16.05,26,2022-01-08 08:56:36.111000+01:00
46,15.9,26,2022-01-08 09:10:56.046000+01:00
47,15.85,26,2022-01-08 09:25:16.659000+01:00
48,15.65,26,2022-01-08 09:39:37.593000+01:00
49,15.4,26,2022-01-08 09:53:58.847000+01:00
50,15.45,27,2022-01-08 10:08:20.476000+01:00
51,15.45,26,2022-01-08 10:22:42.371000+01:00
52,15.4,26,2022-01-08 10:37:04.509000+01:00
53,15.1,26,2022-01-08 10:51:26.722000+01:00
54,15.05,26,2022-01-08 11:05:49.523000+01:00
55,15.05,26,2022-01-08 11:20:12.785000+01:00
56,14.9,26,2022-01-08 11:34:36.050000+01:00
57,14.8,26,2022-01-08 11:48:59.757000+01:00
58,14.8,26,2022-01-08 12:03:23.665000+01:00
59,14.75,26,2022-01-08 12:17:47.648000+01:00
60,14.55,26,2022-01-08 12:32:12.034000+01:00
61,14.6,26,2022-01-08 12:46:36.495000+01:00
62,14.55,26,2022-01-08 13:01:01.203000+01:00
63,14.55,26,2022-01-08 13:15:25.877000+01:00
64,14.45,26,2022-01-08 13:29:50.668000+01:00
65,14.5,26,2022-01-08 13:44:15.536000+01:00
66,14.5,26,2022-01-08 13:58:40.910000+01:00
67,14.3,26,2022-01-08 14:13:06.532000+01:00
68,14.25,26,2022-01-08 14:27:32.201000+01:00
69,14.15,26,2022-01-08 14:41:57.995000+01:00
70,13.9,25,2022-01-08 14:56:24.424000+01:00
71,13.6,26,2022-01-08 15:10:51.622000+01:00
72,13.6,26,2022-01-08 15:25:19.110000+01:00
73,13.75,26,2022-01-08 15:39:46.597000+01:00
74,13.6,26,2022-01-08 15:54:14.242000+01:00
75,13.6,26,2022-01-08 16:08:41.952000+01:00
76,13.65,26,2022-01-08 16:23:09.834000+01:00
77,13.4,26,2022-01-08 16:37:37.729000+01:00
78,13.55,26,2022-01-08 16:52:05.724000+01:00
79,13.5,26,2022-01-08 17:06:33.872000+01:00
80,13.3,26,2022-01-08 17:21:02.332000+01:00
81,13.35,26,2022-01-08 17:35:30.789000+01:00
82,13.3,26,2022-01-08 17:49:59.525000+01:00
83,13.25,27,2022-01-08 18:04:28.344000+01:00
84,14.55,32,2022-01-08 18:18:55.603000+01:00
85,15.3,31,2022-01-08 18:33:19.106000+01:00
86,15.55,30,2022-01-08 18:47:40.948000+01:00
87,15.7,29,2022-01-08 19:02:01.869000+01:00
88,15.8,29,2022-01-08 19:16:22.394000+01:00
89,16.0,29,2022-01-08 19:30:42.814000+01:00
90,15.95,29,2022-01-08 19:45:02.785000+01:00
91,16.1,28,2022-01-08 19:59:22.586000+01:00
92,16.0,28,2022-01-08 20:13:42.825000+01:00
93,15.9,28,2022-01-08 20:30:00.438000+01:00
94,15.65,26,2022-01-08 20:44:21.344000+01:00
95,15.65,26,2022-01-08 20:58:42.538000+01:00
96,15.3,26,2022-01-08 21:13:04.490000+01:00
97,15.65,27,2022-01-08 21:27:26.116000+01:00
98,15.6,27,2022-01-08 21:41:47.226000+01:00
99,15.7,27,2022-01-08 21:56:08.027000+01:00
100,15.25,26,2022-01-08 22:10:29.290000+01:00
101,14.95,26,2022-01-08 22:24:52.048000+01:00
102,14.9,27,2022-01-08 22:39:15.639000+01:00
103,14.9,28,2022-01-08 22:53:39.315000+01:00
104,14.95,29,2022-01-08 23:08:02.853000+01:00
105,15.25,31,2022-01-08 23:22:25.833000+01:00
106,15.4,31,2022-01-08 23:36:47.743000+01:00
107,15.35,31,2022-01-08 23:51:09.169000+01:00
108,15.7,30,2022-01-09 00:05:30.459000+01:00
109,15.55,30,2022-01-09 00:19:51.627000+01:00
110,15.7,29,2022-01-09 00:34:12.374000+01:00
111,15.75,29,2022-01-09 00:48:32.989000+01:00
112,15.75,29,2022-01-09 01:02:53.575000+01:00
113,15.75,29,2022-01-09 01:17:13.836000+01:00
114,15.9,29,2022-01-09 01:31:34.198000+01:00
115,15.85,29,2022-01-09 01:45:54.566000+01:00
